,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional,season,PPG
183,154,Luka Garza,C,24,MIN,23,209,23.7,0.646,0.353,0.471,15.9,14.1,15.0,10.7,0.5,0.4,7.5,27.1,,0.8,0.2,1.0,0.225,,3.1,-2.9,0.2,0.1,garzalu01,2223,6.8
184,155,Rudy Gay,PF,36,UTA,47,682,8.7,0.462,0.441,0.175,5.0,17.4,11.2,8.6,1.1,1.7,10.5,16.9,,-0.3,0.6,0.3,0.019,,-3.9,-0.3,-4.2,-0.4,gayru01,2223,5.0
185,156,Paul George,SG,32,LAC,47,1618,19.8,0.595,0.436,0.286,2.2,17.6,10.0,25.0,2.1,0.9,14.3,29.3,,2.0,2.0,3.9,0.117,,2.4,0.2,2.6,1.9,georgpa01,2223,23.7
186,157,Taj Gibson,C,37,WAS,39,393,11.9,0.581,0.184,0.35,8.3,14.6,11.6,10.1,1.6,2.1,15.0,15.5,,0.3,0.4,0.7,0.092,,-3.5,0.8,-2.7,-0.1,gibsota01,2223,3.4
187,158,Josh Giddey,SG,20,OKC,56,1716,16.4,0.53,0.201,0.115,6.8,20.4,13.4,28.2,1.2,1.4,16.4,24.6,,0.4,1.9,2.3,0.065,,0.7,-0.5,0.2,1.0,giddejo01,2223,16.2
188,159,Shai Gilgeous-Alexander,PG,24,OKC,54,1918,27.3,0.623,0.127,0.526,2.6,11.9,7.1,26.4,2.2,2.8,10.3,32.6,,6.8,2.3,9.1,0.227,,5.8,1.4,7.2,4.4,gilgesh01,2223,31.2
189,160,Anthony Gill,PF,30,WAS,42,419,11.6,0.664,0.226,0.417,6.4,8.9,7.7,6.4,0.6,1.6,8.3,11.3,,0.8,0.2,1.1,0.122,,-1.8,-0.6,-2.4,0.0,gillan01,2223,3.1
190,161,Rudy Gobert,C,30,MIN,52,1583,18.9,0.694,0.008,0.612,11.8,30.0,21.1,4.0,1.2,4.0,15.4,16.0,,3.2,2.6,5.8,0.176,,0.1,0.5,0.5,1.0,goberru01,2223,13.7
191,162,Jordan Goodwin,PG,24,WAS,42,760,14.5,0.541,0.311,0.21,5.6,13.7,9.9,18.7,2.8,2.3,13.4,15.8,,0.7,1.0,1.7,0.108,,-0.9,2.2,1.3,0.6,goodwjo01,2223,5.8
192,163,Aaron Gordon,PF,27,DEN,51,1533,20.7,0.641,0.231,0.435,9.3,16.9,13.2,14.1,1.3,2.3,10.7,21.4,,3.9,1.7,5.6,0.174,,3.0,-0.3,2.8,1.8,gordoaa01,2223,16.9
193,164,Eric Gordon,SG,34,TOT,52,1518,11.3,0.568,0.512,0.289,0.9,6.7,3.8,14.4,1.1,1.3,13.1,17.8,,1.1,0.2,1.3,0.041,,-0.9,-1.6,-2.5,-0.2,gordoer01,2223,10.1
194,164,Eric Gordon,SG,34,HOU,47,1418,11.4,0.572,0.513,0.282,0.9,6.6,3.7,14.1,1.0,1.2,13.4,18.1,,1.0,0.1,1.1,0.037,,-0.9,-1.7,-2.6,-0.2,gordoer01,2223,10.1
195,164,Eric Gordon,SG,34,LAC,5,100,10.9,0.493,0.5,0.417,1.1,8.9,5.0,18.3,1.5,2.7,6.6,13.3,,0.1,0.1,0.2,0.095,,-1.1,0.3,-0.8,0.0,gordoer01,2223,10.1
196,165,Devonte' Graham,PG,27,TOT,60,1004,12.2,0.535,0.788,0.272,1.9,8.0,4.9,19.3,1.7,1.3,8.6,16.1,,1.2,0.8,2.0,0.094,,0.0,0.0,0.1,0.5,grahade01,2223,15.4
197,165,Devonte' Graham,PG,27,NOP,53,811,11.8,0.545,0.823,0.255,1.6,8.4,5.0,18.8,1.8,1.2,9.5,14.9,,0.9,0.8,1.7,0.101,,-0.4,0.4,0.0,0.4,grahade01,2223,15.4
198,165,Devonte' Graham,PG,27,SAS,7,193,14.0,0.508,0.691,0.321,2.8,6.6,4.6,21.6,1.2,1.7,6.1,21.1,,0.2,0.0,0.3,0.065,,1.8,-1.3,0.5,0.1,grahade01,2223,15.4
199,166,Jerami Grant,PF,28,POR,56,1996,16.4,0.608,0.383,0.373,2.8,11.4,7.1,9.9,1.1,1.9,9.8,23.1,,3.2,1.1,4.2,0.101,,1.4,-1.3,0.0,1.0,grantje01,2223,20.7
200,167,A.J. Green,SG,23,MIL,28,267,12.8,0.63,0.828,0.04,2.0,9.7,6.0,9.6,1.1,0.0,7.4,17.1,,0.5,0.3,0.8,0.136,,0.4,-0.2,0.2,0.1,greenaj01,2223,4.6
201,168,Danny Green,SG,35,TOT,6,71,2.3,0.489,0.789,0.053,1.5,6.1,3.8,3.4,1.4,1.3,20.5,14.7,,-0.1,0.1,0.0,-0.027,,-6.3,-0.9,-7.3,-0.1,greenda02,2223,4.0
202,168,Danny Green,SG,35,MEM,3,43,-0.1,0.409,0.727,0.0,2.4,7.3,4.9,5.6,1.1,0.0,21.4,13.3,,-0.1,0.0,0.0,-0.053,,-7.9,-0.8,-8.6,-0.1,greenda02,2223,4.0
203,168,Danny Green,SG,35,CLE,3,28,6.0,0.592,0.875,0.125,0.0,4.2,2.1,0.0,1.8,3.3,19.2,16.7,,0.0,0.0,0.0,0.014,,-4.0,-1.1,-5.1,0.0,greenda02,2223,4.0
204,169,Draymond Green,PF,32,GSW,54,1703,12.4,0.593,0.295,0.25,3.0,22.6,12.9,27.7,1.5,2.3,27.2,12.6,,1.5,2.2,3.7,0.104,,-1.5,2.7,1.2,1.4,greendr01,2223,8.5
205,170,Jalen Green,SG,20,HOU,55,1852,14.1,0.534,0.43,0.329,1.8,11.2,6.4,17.6,1.1,0.7,12.1,28.3,,0.5,0.4,0.8,0.022,,0.2,-2.6,-2.4,-0.2,greenja05,2223,21.8
206,171,JaMychal Green,PF,32,GSW,42,606,13.6,0.613,0.432,0.255,10.5,19.0,14.8,9.1,1.6,2.0,18.4,18.1,,0.4,0.7,1.2,0.092,,-2.2,-0.3,-2.4,-0.1,greenja01,2223,6.3
207,172,Javonte Green,SG,29,CHI,28,449,15.4,0.667,0.327,0.413,6.4,14.0,10.2,6.9,2.4,4.2,14.0,14.0,,0.7,0.7,1.4,0.151,,-0.5,2.5,2.0,0.5,greenja02,2223,5.9
208,173,Jeff Green,PF,36,DEN,39,757,11.0,0.568,0.282,0.34,4.4,10.6,7.6,8.0,1.0,1.3,11.5,17.9,,0.4,0.6,1.0,0.065,,-2.7,-1.1,-3.8,-0.3,greenje02,2223,7.8
